"-64","0.008590"
"-63","0.009219"
"-62","0.012174"
"-61","0.016620"
"-60","0.004083"
"-59","0.007827"
"-58","0.008646"
"-57","0.011213"
"-56","0.015528"
"-55","0.007270"
"-54","0.006427"
"-53","0.019723"
"-52","0.006489"
"-51","0.003006"
"-50","0.016877"
"-49","0.008561"
"-48","0.023244"
"-47","0.020073"
"-46","0.023515"
"-45","0.009299"
"-44","0.023979"
"-43","0.002423"
"-42","0.013430"
"-41","0.013596"
"-40","0.015379"
"-39","0.024990"
"-38","0.023723"
"-37","0.006689"
"-36","0.016910"
"-35","0.024175"
"-34","0.009667"
"-33","0.018766"
"-32","0.013157"
"-31","0.009131"
"-30","0.011919"
"-29","0.023294"
"-28","0.013153"
"-27","0.027654"
"-26","0.021596"
"-25","0.005114"
"-24","0.012364"
"-23","0.039998"
"-22","0.017440"
"-21","0.011477"
"-20","0.032453"
"-19","0.025053"
"-18","0.018820"
"-17","0.023339"
"-16","0.052655"
"-15","0.052155"
"-14","0.018465"
"-13","0.033032"
"-12","0.049070"
"-11","0.031745"
"-10","0.108800"
"-9","0.046096"
"-8","0.044511"
"-7","0.097005"
"-6","0.074176"
"-5","0.052676"
"-4","0.238518"
"-3","1.000000"
"-2","0.266900"
"-1","0.014591"
"0","0.000000"
"1","0.014591"
"2","0.266900"
"3","1.000000"
"4","0.238518"
"5","0.052676"
"6","0.074176"
"7","0.097005"
"8","0.044511"
"9","0.046096"
"10","0.108800"
"11","0.031745"
"12","0.049070"
"13","0.033032"
"14","0.018465"
"15","0.052155"
"16","0.052655"
"17","0.023339"
"18","0.018820"
"19","0.025053"
"20","0.032453"
"21","0.011477"
"22","0.017440"
"23","0.039998"
"24","0.012364"
"25","0.005114"
"26","0.021596"
"27","0.027654"
"28","0.013153"
"29","0.023294"
"30","0.011919"
"31","0.009131"
"32","0.013157"
"33","0.018766"
"34","0.009667"
"35","0.024175"
"36","0.016910"
"37","0.006689"
"38","0.023723"
"39","0.024990"
"40","0.015379"
"41","0.013596"
"42","0.013430"
"43","0.002423"
"44","0.023979"
"45","0.009299"
"46","0.023515"
"47","0.020073"
"48","0.023244"
"49","0.008561"
"50","0.016877"
"51","0.003006"
"52","0.006489"
"53","0.019723"
"54","0.006427"
"55","0.007270"
"56","0.015528"
"57","0.011213"
"58","0.008646"
"59","0.007827"
"60","0.004083"
"61","0.016620"
"62","0.012174"
"63","0.009219"
